How many of the lactating mothers with anemia had severe anemia?,H3HB4_1
How many lactating mothers with anemia were told they had moderate or severe anemia?,H3HB1_4
How many of the identified lactating mothers were referred?,H3HB1_5
What information is provided during postnatal counselling?,H4
postpartum hygiene,H4_A
Importance of breastfeeding,H4_B
Information on nutritious food,H4_C
Essential care of the newborn,H4_D
Routine vaccinations,H4_E
Prevention of diarrhea and the importance of ORS,H4_F
Identification and referral of sick children,H4_G
family planning counseling,H4_H
Other (specify),H4_88
none of these,H4_99
Others (Specify),H4_SP
Whether red IFA tablets were distributed,H5
Whether delivery was done at the time of antenatal check-up (for pregnant women),H5_1
How many IFA tablets were being given to most pregnant women at one time?,H5_1_1
Whether red IFA tablets were distributed after delivery (to lactating mothers),H5_2
How many IFA tablets were being given to most lactating mothers at one time?,H5_2_1
Are any services provided to the adolescent at the session site?,H6
Whether blue IFA tablets were distributed at the session venue,H6_1
How many pills are most adolescent girls being given at one time?,H6_1_1
Are calcium tablets being distributed at the session site?,H7
Is albendazole being distributed to pregnant women (in the second trimester)?,H8
Are eligible couples present at the session venue as per the due list?,H9
Are OCPs being distributed?,H10
Is ECP being distributed?,H11
Is breastfeeding counseling provided at the session?,H12
Total number of Antara planted at VHSND site (Ask and observe),H12A
Did the FLW discuss family planning and its importance with the beneficiaries?,H12B
"Is the nutritional status of children aged 6 months to 5 years being assessed based on age, weight and length/height?",H13
Are women with danger signs being identified and referred?,H14
Are children with danger signs being identified and referred?,H15
Are the above services being maintained in the MCP card?,H16
Is the ANM cutting the syringe with a hub cutter after use?,H18
"If not, the relevant reasons:",H19
Is the ANM writing the date and time of opening on all opened vaccine vials?,H20
Is the vaccinator using the diluted BCG/MR/JE vial after the prescribed period (4 hours)?,H21
Are the 4 important messages being given to parents by the health worker?,H22
Are health workers advising beneficiaries to wait for 30 minutes after vaccination?,H23
Was tele-consultation done at the session site?,H24
How many teleconsultations have been conducted by Spoke?,H25
"If there was no consultation, what are the reasons for zero consultation?",H26
Number of teleconsultations you attended during the session,H27
"If needed, referral is also being done during teleconsultation.",H28
How many new MCP cards are available at the session site?,H29
Were any pregnant women registered today?,H30
Is the information about the services being provided also being maintained in the register?,H31
Which registers are being maintained at the session?,H32
RCH Register,H32_A
Rough Register,H32_B
Other (specify),H32_88
Others (Specify),H32_SP
Was the importance of family planning explained to the beneficiaries by the PL/GF during the VHSND visit?,H33
Was the importance of family planning explained to the FLWs by the PL/GF during the VHSND visit?,H34
Is the information being maintained by ANM in the ANMOL App?,ANM1
How many pregnant women are registered in the ANM dashboard of ANMOL App?,ANM2
Number of pregnant women,ANM2_1
How many children below 2 years of age are registered in the ANM dashboard of ANMOL App?,ANM3
Number of children under 2 years of age,ANM3_1
How many target couples (women aged 15 to 49 years) are registered in the ANM dashboard of ANMOL App?,ANM4
Number of women aged 15 to 49,ANM4_1
Are you indenting medicines through DVDMS (e-aushadhi)?,ANM5
Is Enam distributing medicine through DVDMS (e-aushadhi)?,ANM6
Are Asha workers conducting surveys through the m-ASHA App?,ASHA1
How many families has Asha surveyed through the m-ASHA App?,ASHA2
Number of families,ASHA2_1
Is the Abha-ID of the beneficiaries being created at the session?,ASHA3
Are you (Asha) requesting family planning materials through the FPLMIS app?,ASHA4
Are you (Asha) distributing family planning material through FPLMIS app?,ASHA5
Is Scan & Share available on the session?,New
,remarks
